model,date
DeepSeek-Coder-V2-Lite-Instruct,20240624
DeepSeek-R1-Distill-Qwen-32B,20250121
DeepSeek-V2-Lite-Chat,20240624
Llama-2-7b-chat-hf,20240607
Meta-Llama-3-70B-Instruct,20240607
Meta-Llama-3-8B-Instruct,20240607
Meta-Llama-3.1-405B-Instruct-Turbo,20240723
Meta-Llama-3.1-70B-Instruct-Turbo,20240724
Meta-Llama-3.1-8B-Instruct-Turbo,20240724
Mistral-7B-Instruct-v0.2,20240607
Mistral-7B-Instruct-v0.3,20240708
OpenHermes-2.5-Mistral-7B,20240614
Phi-3-medium-128k-instruct,20240614
Phi-3-medium-4k-instruct,20240614
Phi-3-mini-128k-instruct,20240824
Phi-3-mini-4k-instruct,20240824
Phi-3-small-128k-instruct,20240824
Phi-3-small-8k-instruct,20240824
Phi-3.5-MoE-instruct,20240823
Phi-3.5-mini-instruct,20240823
QwQ-32B-Preview,20241210
Qwen1.5-0.5B-Chat,20240607
Qwen1.5-1.8B-Chat,20240607
Qwen1.5-110B-Chat,20240607
Qwen1.5-4B-Chat,20240607
Qwen1.5-72B-Chat,20240607
Qwen1.5-7B-Chat,20240607
Qwen2-0.5B-Instruct,20240613
Qwen2-1.5B-Instruct,20240614
Qwen2-72B-Instruct,20240611
Qwen2-7B-Instruct,20240614
Qwen2.5-72B-Instruct-Turbo,20240920
Qwen2.5-7B-Instruct-Turbo,20241114
Qwen2.5-Coder-32B-Instruct,20241115
Reflection-Llama-3.1-70B,20241004
Starling-LM-7B-beta,20240607
Yi-6B-Chat,20240607
amazon.nova-lite-v1:0,20241210
amazon.nova-micro-v1:0,20241210
amazon.nova-pro-v1:0,20241210
azerogpt,20250301
chatgpt-4o-latest-2025-01-29,20250205
chatgpt-4o-latest-2025-01-30,20250130
chatgpt-4o-latest-2025-03-27,20240919
claude-3-5-haiku-20241022,20241105
claude-3-5-sonnet-20240620,20240620
claude-3-5-sonnet-20241022,20241022
claude-3-7-sonnet-20250219-base,20250224
claude-3-7-sonnet-20250219-thinking-25k,20250224
claude-3-7-sonnet-20250219-thinking-64k,20250224
claude-3-haiku-20240307,20240607
claude-3-opus-20240229,20240607
claude-3-sonnet-20240229,20240607
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,20241002
coding-meta-llama-3.1-70b-instruct-chk-50,20240816
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,20240927
command-r-03-2024,20240607
command-r-08-2024,20240903
command-r-plus-04-2024,20240607
command-r-plus-08-2024,20240903
deepseek-chat,20240704
deepseek-coder,20240623
deepseek-r1,20250120
deepseek-r1-distill-llama-70b,20250128
deepseek-r1-distill-qwen-32b,20250122
deepseek-r1-local-2,20250213
deepseek-v3,20241226
deepseek-v3-0324,20250324
dracarys2-72b-instruct,20250129
dracarys2-llama-3.1-70b-instruct,20250130
gemini-1.5-flash-001,20240614
gemini-1.5-flash-002,20240925
gemini-1.5-flash-8b-exp-0827,20240830
gemini-1.5-flash-8b-exp-0924,20241210
gemini-1.5-flash-exp-0827,20240830
gemini-1.5-pro-001,20240607
gemini-1.5-pro-002,20240924
gemini-1.5-pro-exp-0801,20240803
gemini-1.5-pro-exp-0827,20240828
gemini-2.0-flash-001,20250205
gemini-2.0-flash-exp,20241211
gemini-2.0-flash-lite-001,20250227
gemini-2.0-flash-lite-preview-02-05,20250205
